,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40,J41,J42,J43,J44,J45,J46,J47,J48,J49,J50,J51,J52
FCAR,4,2,4,1,1,1,4,1,3,1,2,5,3,2,3,2,2,3,1,3,1,3,2,4,1,4,2,1,4,6,4,2,3,1,1,1,3,3,1,4,3,3,2,2,1,3,3,4,3,2,2,4
SRUD,3,4,3,1,2,1,1,1,4,2,4,4,2,3,2,3,2,2,2,3,2,2,4,1,2,4,2,2,1,4,2,3,2,2,7,1,3,2,1,1,5,2,1,3,1,3,2,4,2,1,3,5
FBAU,5,4,2,2,3,2,3,2,5,2,2,3,2,1,2,1,1,1,2,4,4,5,4,3,2,2,1,3,5,6,3,2,4,4,3,2,3,5,2,1,4,4,1,3,2,3,3,4,3,3,2,5
FROC,4,1,4,1,3,2,2,1,6,2,1,5,3,3,4,4,1,3,1,4,4,3,3,2,2,3,1,2,4,5,1,2,3,2,1,2,2,5,1,1,4,3,1,2,2,1,1,3,3,2,3,1
SFED,5,4,2,1,1,2,4,2,6,4,3,6,1,1,3,3,1,2,2,3,2,3,5,1,1,3,1,3,1,2,4,1,4,1,4,2,1,5,1,5,5,1,2,4,3,2,3,2,1,1,2,1
SREY,1,1,4,3,1,1,1,2,5,3,3,6,4,1,4,3,4,5,1,1,3,2,1,1,3,2,3,3,4,2,5,1,2,4,6,3,2,4,2,2,1,4,2,3,1,2,1,3,1,3,2,3
SKLE,2,4,3,2,3,1,1,3,3,1,1,6,3,1,4,3,2,5,1,1,4,6,1,2,3,2,1,1,2,1,4,1,3,3,2,3,2,2,1,4,1,1,1,4,3,1,2,2,1,4,3,1
FCLL,3,3,1,2,2,2,3,3,5,2,1,4,3,3,1,2,3,1,2,3,1,4,3,1,3,3,3,2,2,5,4,3,3,2,1,4,1,2,1,1,2,2,3,1,3,3,3,4,3,4,1,2
FCLP,1,3,1,3,2,2,3,2,2,4,4,2,1,1,1,2,4,4,1,2,1,2,5,4,3,4,1,3,3,3,5,3,4,1,3,3,1,2,2,3,5,4,3,2,2,1,4,1,4,1,2,1
SRAD,2,2,2,3,3,2,3,2,1,4,4,4,3,4,2,3,3,5,1,4,1,2,1,2,3,1,2,2,2,2,5,3,2,1,5,2,2,4,2,1,1,1,3,5,1,3,2,3,2,2,1,5
SRAA,3,2,2,2,3,2,3,2,4,3,3,4,2,2,2,3,3,3,2,2,2,3,4,4,2,4,2,3,2,3,2,1,4,4,6,3,1,5,2,5,5,4,1,4,2,3,4,2,2,3,1,5
FROU,2,4,4,2,2,1,2,1,3,1,3,3,1,2,4,5,2,6,1,2,1,1,3,3,1,1,3,1,4,1,5,3,4,3,2,1,1,1,2,6,3,4,1,1,2,2,1,2,4,1,3,5
FHUE,4,1,4,1,1,1,2,3,2,4,2,5,2,1,3,4,3,1,1,2,4,4,3,1,3,1,3,3,3,4,4,3,4,3,1,4,2,2,1,3,5,3,1,2,2,1,1,1,3,1,2,4
SBEA,4,2,3,3,2,1,4,3,6,2,4,1,1,1,2,1,1,2,1,1,1,4,2,1,2,1,2,2,6,5,1,3,1,4,5,2,3,3,1,4,2,1,2,5,1,1,2,4,2,2,1,2
